,label,processed_study,processed_condition
0,0,saracatinib saracatinib,recur verruc carcinom larynx diagnos paty must agr us adequ bir control dur study particip least eight week discontinu study drug recurrent verrucous carcinoma larynx diagnosis patients must agree use adequate birth control duration study participation least eight weeks discontinuation study drug
1,1,stem cel transpl stem cell transplantation,hodgkin lymphom diagnos hist congenit hematolog immunolog metabol disord estim pi pos prohibit risk recipy hodgkin lymphoma diagnosis history congenital hematologic immunologic metabolic disorder estimation pi pose prohibitive risk recipient
2,0,lenograstim lenograstim,recur adult diffus mix cel lymphom diagnos creatinin clear crcl gre fifty ml per minut test must perform within twentyeight day pri reg recurrent adult diffuse mix cell lymphoma diagnosis creatinine clearance crcl greater fifty ml per minute test must perform within twentyeight days prior registration
3,0,doxorubicin doxorubicin,stag ii diffus larg cel lymphom diagnos stag ii bulky diseas defin mass siz ten cm stag ii iv ann_arbor stag paty stag stag ii non bulky diseas exclud study stage iii diffuse large cell lymphoma diagnosis stag ii bulky disease define mass size ten cm stage iii iv ann_arbor stag patients stage stage ii non bulky disease exclude study
4,1,poly ic poly ic,prost cant diagnos unresolv ira follow pri biolog therapy exceiv stabl man ira may acceiv hypothyroid hypopituit appropry replac prostate cancer diagnosis unresolved iraes follow prior biological therapy except stable manage iraes may acceptable hypothyroidism hypopituitarism appropriate replacement
5,1,bevacizumab bevacizumab,stag ii prim periton cant diagnos uncontrol hypertend defin systol greater_than on hundr fifty mm hg diastol greater_than nin mmhg stage iiic primary peritoneal cancer diagnosis uncontrolled hypertension define systolic greater_than one hundred fifty mm hg diastolic greater_than ninety mmhg
6,0,carboplatin carboplatin,stag iib uterin sarcom diagnos paty must ent twelv week post op stage iib uterine sarcoma diagnosis patients must enter twelve weeks post operatively
7,0,vidarabin vidarabine,stag iv child smal noncleav cel lymphom diagnos acut myeloid leukem aml stage iv childhood small noncleaved cell lymphoma diagnosis acute myeloid leukemia aml
8,1,dexamethason 21phosphate dexamethasone 21phosphate,non secret multipl myelom non secretory multiple myeloma
9,1,microwav abl microwave ablation,hep neoplasm diagnos sev ren dysfunct creatinin clear less_than forty ml min hepatic neoplasms diagnosis severe renal dysfunction creatinine clearance less_than forty ml min
10,1,liposom doxorubicin liposomal doxorubicin,breast neoplasm diagnos concur tre expery drug breast neoplasms diagnosis concurrent treatment experimental drug
11,0,sirolim sirolimus,lymphom diagnos myelofibros myeloprol disord lymphoma diagnosis myelofibrosis myeloproliferative disorder
12,0,methylprednisolon acet methylprednisolone acetate,prim periton cant diagnos creatinin cr less_than equal_than doc mg dl primary peritoneal cancer diagnosis creatinine cr less_than equal_than doc mg dl
13,1,antibody monoclon antibodies monoclonal,stag iiib non smal cel lung cant diagnos sign uncontrol cardiac diseas within past six month includ follow stage iiib non small cell lung cancer diagnosis significant uncontrolled cardiac disease within past six months include follow
14,1,cyclophosphamid cyclophosphamide,metachromatic_leukodystrophy mld diagnos evid hum immunodeficy vir hiv infect known hiv posit serolog metachromatic_leukodystrophy mld diagnosis evidence human immunodeficiency virus hiv infection know hiv positive serology
15,0,podophyllotoxin podophyllotoxin,stag iiib hodgkin lymphom diagnos mal doc mg dl fem doc mg dl stage iiib hodgkin lymphoma diagnosis male doc mg dl female doc mg dl
16,1,antibody monoclon antibodies monoclonal,fallop tub clear cel adenocarcinom diagnos hist sev allerg anaphylact hypersensit react chim hum antibody fus protein fallopian tube clear cell adenocarcinoma diagnosis history severe allergic anaphylactic hypersensitivity reactions chimeric humanize antibodies fusion proteins
17,0,cyclindepend kinas inhibit protein cyclindependent kinase inhibitor proteins,tripl neg breast cant diagnos mal subject childbear pot must agr us adequ method contraceiv start first dos study therapy on hundr twenty day last dos study therapy triple negative breast cancer diagnosis male subject childbearing potential must agree use adequate method contraception start first dose study therapy one hundred twenty days last dose study therapy
18,0,prophylact postop rady therapy prophylactic postoperative radiation therapy,esoph cant tnm stag prim tum tthree diagnos regul follow esophageal cancer tnm stag primary tumor tthree diagnosis regular follow
19,1,olaparib olaparib,admin simult chemotherapy drug ant therapy ant neoplast hormon therapy simult radiotherapy tri tre period hormon replac therapy permit steroid antiemet administration simultaneous chemotherapy drug anticancer therapy anti neoplastic hormonal therapy simultaneous radiotherapy trial treatment period hormonal replacement therapy permit steroidal antiemetics
20,0,antibody antibodies,kidney cant diagnos subject must arch cur tissu prim metast foc avail psma determin kidney cancer diagnosis subject must archive current tissue primary metastatic focus available psma determination
21,0,fludarabin phosph fludarabine phosphate,recur grad two follicul lymphom diagnos don recurrent grade two follicular lymphoma diagnosis donor
22,1,immunoglobulin g immunoglobulin g,recur prim periton carcinom diagnos diagnos immunodeficy receiv system steroid therapy form immunosuppress therapy within sev day pri first dos tri tre tak med might affect immun funct recurrent primary peritoneal carcinoma diagnosis diagnosis immunodeficiency receive systemic steroid therapy form immunosuppressive therapy within seven days prior first dose trial treatment take medication might affect immune function
23,0,fludarabin fludarabine,stag grad on follicul lymphom diagnos tre on regim haart tot least six month dur stage grade one follicular lymphoma diagnosis treat one regimen haart total least six months duration
24,1,lab biomark analys laboratory biomarker analysis,refract diffus larg cel lymphom diagnos left ventricul eject fract lvef less_than fifty regardless wheth symptom heart fail refractory diffuse large cell lymphoma diagnosis leave ventricular ejection fraction lvef less_than fifty regardless whether symptoms heart failure
25,0,albuminbound paclitaxel albuminbound paclitaxel,cerv adenosarcom diagnos platelet count plt greater_than equal_than on hundr zero mm three cervical adenosarcoma diagnosis platelet count plt greater_than equal_than one hundred zero mm three
26,0,staurosporin staurosporine,lymphom diagnos pri allerg react compound simil chem biolog composit ucn on ag study lymphoma diagnosis prior allergic reactions compound similar chemical biological composition ucn one agents study
27,1,fol acid folic acid,metast colorect cant diagnos known hist alcohol drug abus metastatic colorectal cancer diagnosis know history alcohol drug abuse
28,1,mycophenol mofetil mycophenolate mofetil,contigu stag ii adult diffus smal cleav cel lymphom diagnos paty rapid progress aggress nhl unless minim diseas stat contiguous stage ii adult diffuse small cleave cell lymphoma diagnosis patient rapidly progressive aggressive nhl unless minimal disease state
29,0,tlr9 agon sd101 tlr9 agonist sd101,recur follicul lymphom diagnos absolv neutrophil count ant greater_than equal_than on thousand mm three independ grow fact support recurrent follicular lymphoma diagnosis absolute neutrophil count anc greater_than equal_than one thousand mm three independent growth factor support
30,0,immunoglobulin immunoglobulins,refract smal lymphocys lymphom diagnos fem childbear pot fcbp must neg ser urin pregn test sensit least twentyf miu ml within ten fourteen day within twentyfo hour pri start cyc on lenalidomid must eith commit continu abstin heterosex intercours begin two acceiv method bir control refractory small lymphocytic lymphoma diagnosis females childbearing potential fcbp must negative serum urine pregnancy test sensitivity least twentyfive miu ml within ten fourteen days within twentyfour hours prior start cycle one lenalidomide must either commit continue abstinence heterosexual intercourse begin two acceptable methods birth control
31,1,dexamethason dexamethasone,multipl myelom diagnos ser clin chem multiple myeloma diagnosis serum clinical chemistry
32,0,sorafenib sorafenib,howev on symptom bon metastas ident on chos index les report purpos however one symptomatic bone metastasis identify one choose index lesion report purpose
33,1,doxorubicin doxorubicin,ov endometrioid adenocarcinom diagnos paty eczem psorias lichen_simplex chronicus vitiligo dermatolog manifest paty psory arthrit would exclud permit provid meet follow condit ovarian endometrioid adenocarcinoma diagnosis patients eczema psoriasis lichen_simplex chronicus vitiligo dermatologic manifestations patients psoriatic arthritis would exclude permit provide meet follow condition
34,0,cyclophosphamid cyclophosphamide,prim periton carcinom diagnos pri stroke primary peritoneal carcinoma diagnosis prior stroke
35,0,trastuzumab trastuzumab,cepseventeen ratio greater_than two biopsy prov breast cant cepseventeen ratio greater_than two biopsy prove breast cancer
36,0,camptothecin camptothecin,brain cent nerv system tum diagnos diseas charact brain central nervous system tumors diagnosis disease characteristics
37,1,fludarabin phosph fludarabine phosphate,paty act non hematolog malign exceiv non melanom skin cant exclud apply paty non hematolog malign requir therapy patients active non hematologic malignancies except non melanoma skin cancers exclusion apply patients non hematologic malignancies require therapy
38,1,carboplatin carboplatin,stag iv uterin sarcom diagnos tot ser bilirubin greater_than doc mg dl stage iva uterine sarcoma diagnosis total serum bilirubin greater_than doc mg dl
39,0,liposom doxorubicin liposomal doxorubicin,stag ii enteropathy assocy cel lymphom diagnos develop erythema_nodosum charact desquamating_rash tak thalidomid lenalidomid simil drug stage ii enteropathy associate cell lymphoma diagnosis development erythema_nodosum characterize desquamating_rash take thalidomide lenalidomide similar drug
40,0,levoleucovorin levoleucovorin,stag iv esoph cant diagnos loc adv metast diseas inop am cur therapy linitis_plastica permit stage iv esophageal cancer diagnosis locally advance metastatic disease inoperable amenable curative therapy linitis_plastica permit
41,1,fludarabin phosph fludarabine phosphate,noncontigu stag ii smal lymphocys lymphom diagnos don noncontiguous stage ii small lymphocytic lymphoma diagnosis donor
42,1,dynam contrastenh magnet reson im dynamic contrastenhanced magnetic resonance image,recur ren cel cant diagnos subject rec dvt tre therapeut ant coag ag least six week elig recurrent renal cell cancer diagnosis subject recent dvt treat therapeutic anti coagulate agents least six weeks eligible
43,0,methylprednisolon methylprednisolone,testicul germ cel tum diagnos system immunosuppress tap stop tre leukem relaps minim resid diseas testicular germ cell tumor diagnosis systemic immunosuppression taper stop treatment leukemic relapse minimal residual disease
44,0,rituximab rituximab,stag iv grad on follicul lymphom diagnos abl tak aspirin 8one three hundr twentyf mg dai prophylact anticoag paty intol as may us warfarin low molecul weight heparin stage iv grade one follicular lymphoma diagnosis able take aspirin 8one three hundred twentyfive mg daily prophylactic anticoagulation patients intolerant asa may use warfarin low molecular weight heparin
45,1,rituximab rituximab,adult burkit lymphom diagnos paty known allergy study med analog excipy vary form ag elig adult burkitt lymphoma diagnosis patients know allergy study medications analogues excipients various formulations agent eligible
46,0,oxaliplatin oxaliplatin,recur child ependymom diagnos creatinin clear radioisotop glomerul filt rat greater_than seventy ml min recurrent childhood ependymoma diagnosis creatinine clearance radioisotope glomerular filtration rate greater_than seventy ml min
47,1,antibody monoclon antibodies monoclonal,fallop tub transit cel carcinom diagnos follow fallopian tube transitional cell carcinoma diagnosis follow
48,0,paclitaxel paclitaxel,recur breast carcinom diagnos paty follow pri concur diagnos elig recurrent breast carcinoma diagnosis patient follow prior concurrent diagnose eligible
49,1,immunoglobulin immunoglobulins,recur adult hodgkin lymphom diagnos qtc prolong greater_than fiv hundredmsec sign ecg abnorm not within fourteen day reg recurrent adult hodgkin lymphoma diagnosis qtc prolongation greater_than five hundredmsec significant ecg abnormality note within fourteen days registration
50,1,liposom doxorubicin liposomal doxorubicin,concur ant drug bevacizumab drug target vegf vegf receiv concurrent anticancer drug bevacizumab drug target vegf vegf receptors
51,0,antibody monoclon antibodies monoclonal,stag iv verruc carcinom or cav diagnos ongo act infect stage iv verrucous carcinoma oral cavity diagnosis ongoing active infection
52,0,cognit assess cognitive assessment,stag ii fallop tub cant diagnos six month sint pri epoetin_alfa darbepoetin investig form erythropoietin stage iiic fallopian tube cancer diagnosis six months since prior epoetin_alfa darbepoetin investigational form erythropoietin
53,1,sirolim sirolimus,recur uterin corp sarcom diagnos unresolv tox pri system therapy common terminolog criter advers ev ctcae vert doc greater_than equal_than grad two sev exceiv alopec recurrent uterine corpus sarcoma diagnosis unresolved toxicities prior systemic therapy common terminology criteria adverse events ctcae version doc greater_than equal_than grade two severity except alopecia
54,0,trin2755 trin2755,neoplasm diagnos lif expect least three month neoplasms diagnosis life expectancy least three months
55,0,trastuzumab trastuzumab,refract malign neoplasm diagnos fiv minut break ecg refractory malignant neoplasm diagnosis five minutes break ecgs
56,0,leucovorin leucovorin,stag ii colon cant diagnos paty prothrombin tim pt intern norm ratio inr greater_than doc elig unless paty ful dos anticoag follow criter must met enrol stage iia colon cancer diagnosis patients prothrombin time pt international normalize ratio inr greater_than doc eligible unless patient full dose anticoagulants follow criteria must meet enrollment
57,0,melph melphalan,ii ii symptom bon les radiolog iii ii symptomatic bone lesion radiological
58,0,endothel grow fact endothelial growth factor,stag ib breast cant diagnos hist ven thrombosis last twelv week stage ib breast cancer diagnosis history venous thrombosis last twelve weeks
59,0,histon deacetylas inhibit histone deacetylase inhibitors,cut cel non hodgkin lymphom diagnos develop erythema_nodosum charact desquamating_rash tak thalidomid simil drug cutaneous cell non hodgkin lymphoma diagnosis development erythema_nodosum characterize desquamating_rash take thalidomide similar drug
60,1,oxaliplatin oxaliplatin,non metast pancrea cant diagnos periph sens neuropathy greater_than grad two baselin non metastatic pancreas cancer diagnosis peripheral sensory neuropathy greater_than grade two baseline
61,1,oxaliplatin oxaliplatin,stomach neoplasm diagnos particip gastrointestin obstruct blee induc mal absorb or chemotherapeut ag stomach neoplasm diagnosis participants gastrointestinal obstruction bleed induce mal absorption oral chemotherapeutic agents
62,1,oxaliplatin oxaliplatin,kra wild typ colorect cant diagnos maj surg proc op biopsy sign traum injury within four week pri random kras wild type colorectal cancer diagnosis major surgical procedure open biopsy significant traumatic injury within four weeks prior randomization
63,1,antibody monoclon antibodies monoclonal,multipl myelom diagnos plasm cel leukem gre two zero cel mcl circ plasm cel standard diff multiple myeloma diagnosis plasma cell leukemia greater two zero cells mcl circulate plasma cells standard differential
64,1,olaparib olaparib,stag iv prost adenocarcinom diagnos hist stroke transy ischem attack within six month random stage iv prostate adenocarcinoma diagnosis history stroke transient ischemic attack within six months randomization
65,0,metronidazol metronidazole,adult prim hepatocellul carcinom diagnos individ eczem op skin condit adult primary hepatocellular carcinoma diagnosis individuals eczema open skin condition
66,1,rex rexing,pancr cant diagnos mal paty must agr us barry contraceiv pancreatic cancer diagnosis male patients must agree use barrier contraception
67,1,vaccin vaccines,stag iv melanom diagnos rady therapy equal_than less_than four week pri reg stage iv melanoma diagnosis radiation therapy equal_than less_than four weeks prior registration
68,1,fluorouracil fluorouracil,bily tract cant diagnos sery und med condit could impair abl paty particip study biliary tract cancer diagnosis serious underlie medical condition could impair ability patient participate study
69,1,gold sod thiom gold sodium thiomalate,stag iv non smal cel lung cant diagnos concur chemotherapy immunotherapy radiotherapy ancil therapy consid investig util non food drug admin fda approv ind context research investig stage iv non small cell lung cancer diagnosis concurrent chemotherapy immunotherapy radiotherapy ancillary therapy consider investigational utilize non food drug administration fda approve indication context research investigation
70,0,lab biomark analys laboratory biomarker analysis,recur mantl cel lymphom diagnos uncontrol act infect recurrent mantle cell lymphoma diagnosis uncontrolled active infection
71,0,liposom doxorubicin liposomal doxorubicin,stag ii breast cant diagnos paty must complet definit breast surgery includ tot mastectom axil dissect mod rad mastectom tot mastectom sentinel nod biopsy lumpectom axil dissect lumpectom sentinel nod biopsy not stage iiia breast cancer diagnosis patients must complete definitive breast surgery include total mastectomy axillary dissection modify radical mastectomy total mastectomy sentinel node biopsy lumpectomy axillary dissection lumpectomy sentinel node biopsy note
72,0,irinotec irinotecan,colorect cant diagnos colostom ileostom allow investig discret colorectal cancer diagnosis colostomy ileostomy allow investigator discretion
73,1,carboplatin carboplatin,anaplast ependymom diagnos new york heart assocy nyh grad ii gre congest heart fail anaplastic ependymoma diagnosis new york heart association nyha grade ii greater congestive heart failure
74,1,etoposid etoposide,stag ii child lymphoblast lymphom diagnos prednison methylprednisolon equal_than less_than on hundr twenty hour fiv day sev day pri in induc chemotherapy equal_than less_than three hundr thirtysix hour fourteen day twentyeight day pri in induc chemotherapy pri expos steroid occur greater_than twentyeight day in protocol therapy affect elig dos prednison methylprednisolon affect elig stage ii childhood lymphoblastic lymphoma diagnosis prednisone methylprednisolone equal_than less_than one hundred twenty hours five days seven days prior initiate induction chemotherapy equal_than less_than three hundred thirtysix hours fourteen days twentyeight days prior initiate induction chemotherapy prior exposure steroids occur greater_than twentyeight days initiation protocol therapy affect eligibility dose prednisone methylprednisolone affect eligibility
75,0,dexamethason 21phosphate dexamethasone 21phosphate,lymphoblast lymphom complet remit diagnos paty persist minim resid diseas complet remit incomplet platelet recovery elig lymphoblastic lymphoma complete remission diagnosis patients persistent minimal residual disease complete remission incomplete platelet recovery eligible
76,1,capecitabin capecitabine,recur colon cant diagnos hiv posit paty ant retrovir therapy cdfour cel less two hundr exclud hiv posit paty elig haart high act ant retrovir therapy cypthreeafo subst induc inhibit meet criter recurrent colon cancer diagnosis hiv positive patients anti retroviral therapy cdfour cells less two hundred exclude hiv positive patients eligible haart highly active anti retroviral therapy cypthreeafour substrates inducers inhibitors meet criteria
77,0,capecitabin capecitabine,pancr cant diagnos known dihydropyrimidine_dehydrogenas dpd deficy pancreatic cancer diagnosis know dihydropyrimidine_dehydrogenase dpd deficiency
78,1,lab biomark analys laboratory biomarker analysis,prim diagnos pulmon smal cel carcinom pulmon larg cel carcinom merkel cel carcinom primary diagnosis pulmonary small cell carcinoma pulmonary large cell carcinoma merkel cell carcinoma
